,niche1,niche2,niche3,niche4,niche5,niche6,niche9,niche10
0,0.0,0.5846154,0.0,0.0,0.41538462,0.0,0.0,0.0
1,0.0,0.44927537,0.0,0.0,0.5507246,0.0,0.0,0.0
2,0.0,0.6923077,0.0,0.0,0.30769232,0.0,0.0,0.0
3,0.0,0.6666667,0.0,0.0,0.33333334,0.0,0.0,0.0
4,0.0,0.7264151,0.0,0.0,0.2735849,0.0,0.0,0.0
5,0.0,0.5882353,0.0,0.0,0.4117647,0.0,0.0,0.0
6,0.0,0.6280992,0.0,0.0,0.3553719,0.016528925,0.0,0.0
7,0.0,0.6492537,0.0,0.0,0.33582088,0.014925373,0.0,0.0
8,0.0,0.6328125,0.0,0.0,0.34375,0.0234375,0.0,0.0
9,0.0,0.65068495,0.0,0.0,0.30136988,0.047945205,0.0,0.0
10,0.0,0.62091506,0.0,0.0,0.30718955,0.07189543,0.0,0.0
11,0.0062111802,0.49689442,0.0,0.0,0.42857143,0.06832298,0.0,0.0
12,0.0,0.58064514,0.0,0.0,0.38709676,0.032258064,0.0,0.0
13,0.006993007,0.6013986,0.0,0.0,0.34265736,0.04895105,0.0,0.0
14,0.0,0.5263158,0.0,0.0,0.4276316,0.04605263,0.0,0.0
15,0.012121212,0.6424242,0.0,0.0,0.27272728,0.07272727,0.0,0.0
16,0.012345679,0.54320985,0.0,0.0,0.3271605,0.11728395,0.0,0.0
17,0.005,0.57,0.0,0.0,0.275,0.15,0.0,0.0
18,0.014778325,0.5369458,0.0,0.0,0.32019705,0.12807882,0.0,0.0
19,0.0,0.53554505,0.0,0.0,0.30331755,0.16113745,0.0,0.0
20,0.005235602,0.591623,0.0,0.0,0.2827225,0.12041885,0.0,0.0
21,0.0,0.5959596,0.0,0.0,0.32323232,0.08080808,0.0,0.0
22,0.0,0.5326087,0.0,0.0,0.38586956,0.08152174,0.0,0.0
23,0.0,0.5942029,0.0,0.0,0.352657,0.053140096,0.0,0.0
24,0.0099502485,0.51741296,0.0,0.0,0.41791046,0.05472637,0.0,0.0
25,0.014285714,0.5,0.0,0.0,0.44761905,0.03809524,0.0,0.0
26,0.027522936,0.43119267,0.0,0.0,0.47247708,0.06880734,0.0,0.0
